id_integracion,visita,pc,a0,rnd_archivos,t,A
7,2,2,2000,0.8055,3.0,387.3188
7,2,2,2000,0.8055,3.1,373.018
7,2,2,2000,0.8055,3.2,359.2609
7,2,2,2000,0.8055,3.3,346.0075
7,2,2,2000,0.8055,3.4,333.2214
7,2,2,2000,0.8055,3.5,320.8696
7,2,2,2000,0.8055,3.6,308.9217
7,2,2,2000,0.8055,3.7,297.3501
7,2,2,2000,0.8055,3.8,286.1292
7,2,2,2000,0.8055,3.9,275.2357
7,2,2,2000,0.8055,4.0,264.648
7,2,2,2000,0.8055,4.1,254.3461
7,2,2,2000,0.8055,4.2,244.3115
7,2,2,2000,0.8055,4.3,234.5271
7,2,2,2000,0.8055,4.4,224.9769
7,2,2,2000,0.8055,4.5,215.6462
7,2,2,2000,0.8055,4.6,206.521
7,2,2,2000,0.8055,4.7,197.5885
7,2,2,2000,0.8055,4.8,188.8364
7,2,2,2000,0.8055,4.9,180.2535
7,2,2,2000,0.8055,5.0,171.8289
7,2,2,2000,0.8055,5.1,163.5526
7,2,2,2000,0.8055,5.2,155.4152
7,2,2,2000,0.8055,5.3,147.4075
7,2,2,2000,0.8055,5.4,139.521
7,2,2,2000,0.8055,5.5,131.7477
7,2,2,2000,0.8055,5.6,124.0798
7,2,2,2000,0.8055,5.7,116.5101
7,2,2,2000,0.8055,5.8,109.0313
7,2,2,2000,0.8055,5.9,101.6369
7,2,2,2000,0.8055,6.0,94.3204
7,2,2,2000,0.8055,6.1,87.0756
7,2,2,2000,0.8055,6.2,79.8965
7,2,2,2000,0.8055,6.3,72.7773
7,2,2,2000,0.8055,6.4,65.7125
7,2,2,2000,0.8055,6.5,58.6966
7,2,2,2000,0.8055,6.6,51.7243
7,2,2,2000,0.8055,6.7,44.7906
7,2,2,2000,0.8055,6.8,37.8903
7,2,2,2000,0.8055,6.9,31.0185
7,2,2,2000,0.8055,7.0,24.1704
7,2,2,2000,0.8055,7.1,17.3411
7,2,2,2000,0.8055,7.2,10.5261
7,2,2,2000,0.8055,7.3,3.7206
7,2,2,2000,0.8055,7.4,-3.0801
8,2,3,1500,0.3937,0,1500
8,2,3,1500,0.3937,0.1,1343.2
8,2,3,1500,0.3937,0.2,1216.1209
8,2,3,1500,0.3937,0.3,1110.7242
8,2,3,1500,0.3937,0.4,1021.677
8,2,3,1500,0.3937,0.5,945.2888
8,2,3,1500,0.3937,0.6,878.9174
8,2,3,1500,0.3937,0.7,820.6177
8,2,3,1500,0.3937,0.8,768.9234
8,2,3,1500,0.3937,0.9,722.7072
8,2,3,1500,0.3937,1.0,681.0868
8,2,3,1500,0.3937,1.1,643.3615
8,2,3,1500,0.3937,1.2,608.9673
8,2,3,1500,0.3937,1.3,577.4445
8,2,3,1500,0.3937,1.4,548.4151
8,2,3,1500,0.3937,1.5,521.5644
8,2,3,1500,0.3937,1.6,496.6292
8,2,3,1500,0.3937,1.7,473.3865
8,2,3,1500,0.3937,1.8,451.6468
8,2,3,1500,0.3937,1.9,431.2478
8,2,3,1500,0.3937,2.0,412.0495
8,2,3,1500,0.3937,2.1,393.9305
8,2,3,1500,0.3937,2.2,376.7851
8,2,3,1500,0.3937,2.3,360.5206
8,2,3,1500,0.3937,2.4,345.0556
8,2,3,1500,0.3937,2.5,330.3181
8,2,3,1500,0.3937,2.6,316.2441
8,2,3,1500,0.3937,2.7,302.7767
8,2,3,1500,0.3937,2.8,289.8651
8,2,3,1500,0.3937,2.9,277.4637
8,2,3,1500,0.3937,3.0,265.5313
8,2,3,1500,0.3937,3.1,254.0308
8,2,3,1500,0.3937,3.2,242.9287
8,2,3,1500,0.3937,3.3,232.1944
8,2,3,1500,0.3937,3.4,221.8001
8,2,3,1500,0.3937,3.5,211.7204
8,2,3,1500,0.3937,3.6,201.9321
8,2,3,1500,0.3937,3.7,192.4136
8,2,3,1500,0.3937,3.8,183.1454
8,2,3,1500,0.3937,3.9,174.1093
8,2,3,1500,0.3937,4.0,165.2883
8,2,3,1500,0.3937,4.1,156.667
8,2,3,1500,0.3937,4.2,148.2307
8,2,3,1500,0.3937,4.3,139.9659
8,2,3,1500,0.3937,4.4,131.8598
8,2,3,1500,0.3937,4.5,123.9007
8,2,3,1500,0.3937,4.6,116.0773
8,2,3,1500,0.3937,4.7,108.379
8,2,3,1500,0.3937,4.8,100.796
8,2,3,1500,0.3937,4.9,93.3186
8,2,3,1500,0.3937,5.0,85.9381
8,2,3,1500,0.3937,5.1,78.6457
8,2,3,1500,0.3937,5.2,71.4334
8,2,3,1500,0.3937,5.3,64.2932
8,2,3,1500,0.3937,5.4,57.2176
8,2,3,1500,0.3937,5.5,50.1994
8,2,3,1500,0.3937,5.6,43.2314
8,2,3,1500,0.3937,5.7,36.3068
8,2,3,1500,0.3937,5.8,29.4189
8,2,3,1500,0.3937,5.9,22.5612
8,2,3,1500,0.3937,6.0,15.7273
8,2,3,1500,0.3937,6.1,8.9108
8,2,3,1500,0.3937,6.2,2.1055
8,2,3,1500,0.3937,6.3,-4.6948
9,2,4,1500,0.6093,0,1500
9,2,4,1500,0.6093,0.1,1343.2
9,2,4,1500,0.6093,0.2,1216.1209
9,2,4,1500,0.6093,0.3,1110.7242
9,2,4,1500,0.6093,0.4,1021.677
9,2,4,1500,0.6093,0.5,945.2888
9,2,4,1500,0.6093,0.6,878.9174
9,2,4,1500,0.6093,0.7,820.6177
9,2,4,1500,0.6093,0.8,768.9234
9,2,4,1500,0.6093,0.9,722.7072
9,2,4,1500,0.6093,1.0,681.0868
9,2,4,1500,0.6093,1.1,643.3615
9,2,4,1500,0.6093,1.2,608.9673
9,2,4,1500,0.6093,1.3,577.4445
9,2,4,1500,0.6093,1.4,548.4151
9,2,4,1500,0.6093,1.5,521.5644
9,2,4,1500,0.6093,1.6,496.6292
9,2,4,1500,0.6093,1.7,473.3865
9,2,4,1500,0.6093,1.8,451.6468
9,2,4,1500,0.6093,1.9,431.2478
9,2,4,1500,0.6093,2.0,412.0495
9,2,4,1500,0.6093,2.1,393.9305
9,2,4,1500,0.6093,2.2,376.7851
9,2,4,1500,0.6093,2.3,360.5206
9,2,4,1500,0.6093,2.4,345.0556
9,2,4,1500,0.6093,2.5,330.3181
9,2,4,1500,0.6093,2.6,316.2441
9,2,4,1500,0.6093,2.7,302.7767
9,2,4,1500,0.6093,2.8,289.8651
9,2,4,1500,0.6093,2.9,277.4637
9,2,4,1500,0.6093,3.0,265.5313
9,2,4,1500,0.6093,3.1,254.0308
9,2,4,1500,0.6093,3.2,242.9287
9,2,4,1500,0.6093,3.3,232.1944
9,2,4,1500,0.6093,3.4,221.8001
9,2,4,1500,0.6093,3.5,211.7204
9,2,4,1500,0.6093,3.6,201.9321
9,2,4,1500,0.6093,3.7,192.4136
9,2,4,1500,0.6093,3.8,183.1454
9,2,4,1500,0.6093,3.9,174.1093
9,2,4,1500,0.6093,4.0,165.2883
9,2,4,1500,0.6093,4.1,156.667
9,2,4,1500,0.6093,4.2,148.2307
9,2,4,1500,0.6093,4.3,139.9659
9,2,4,1500,0.6093,4.4,131.8598
9,2,4,1500,0.6093,4.5,123.9007
9,2,4,1500,0.6093,4.6,116.0773
9,2,4,1500,0.6093,4.7,108.379
9,2,4,1500,0.6093,4.8,100.796
9,2,4,1500,0.6093,4.9,93.3186
9,2,4,1500,0.6093,5.0,85.9381
9,2,4,1500,0.6093,5.1,78.6457
9,2,4,1500,0.6093,5.2,71.4334
9,2,4,1500,0.6093,5.3,64.2932
9,2,4,1500,0.6093,5.4,57.2176
9,2,4,1500,0.6093,5.5,50.1994
9,2,4,1500,0.6093,5.6,43.2314
9,2,4,1500,0.6093,5.7,36.3068
9,2,4,1500,0.6093,5.8,29.4189
9,2,4,1500,0.6093,5.9,22.5612
9,2,4,1500,0.6093,6.0,15.7273
9,2,4,1500,0.6093,6.1,8.9108
9,2,4,1500,0.6093,6.2,2.1055
9,2,4,1500,0.6093,6.3,-4.6948
10,2,5,1000,0.2467,0,1000
10,2,5,1000,0.2467,0.1,893.2
10,2,5,1000,0.2467,0.2,806.6194
10,2,5,1000,0.2467,0.3,734.7559
10,2,5,1000,0.2467,0.4,673.9693
10,2,5,1000,0.2467,0.5,621.7458
10,2,5,1000,0.2467,0.6,576.289
10,2,5,1000,0.2467,0.7,536.2781
10,2,5,1000,0.2467,0.8,500.7187
10,2,5,1000,0.2467,0.9,468.8468
10,2,5,1000,0.2467,1.0,440.065
10,2,5,1000,0.2467,1.1,413.8993
10,2,5,1000,0.2467,1.2,389.9681
10,2,5,1000,0.2467,1.3,367.9606
10,2,5,1000,0.2467,1.4,347.6211
10,2,5,1000,0.2467,1.5,328.737
10,2,5,1000,0.2467,1.6,311.1302
10,2,5,1000,0.2467,1.7,294.65
10,2,5,1000,0.2467,1.8,279.1681
10,2,5,1000,0.2467,1.9,264.5747
10,2,5,1000,0.2467,2.0,250.7747
10,2,5,1000,0.2467,2.1,237.6859
10,2,5,1000,0.2467,2.2,225.2364
10,2,5,1000,0.2467,2.3,213.3633
